Condition,Drug,Type,Reviews,Effective,Ease of Use,Satisfaction,Average Price,Form
Pain and Inflammation,Pseudoephedrine-Ibuprofen 5,OTC,1,3.0,3.0,3.0,18.99,Oral Solids
Pain and Inflammation,Acetaminophen 76,OTC,1,4.0,4.0,4.0,11.99,Oral Solids
Pain and Inflammation,Aspirin 19,OTC,1,4.0,4.0,4.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 77,OTC,1,1.0,3.0,1.0,11.99,Oral Solids
Pain and Inflammation,Aspirin-Calcium Carbonate,OTC,1,5.0,5.0,5.0,10.29,Oral Solids
Pain and Inflammation,Acetaminophen 78,OTC,1,1.0,5.0,1.0,11.99,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 11,OTC,1,1.0,1.0,1.0,27.54,Oral Solids
Pain and Inflammation,Doxylamine-PE-DM-Acetaminophen 2,OTC,1,1.0,1.0,1.0,8.69,Oral Liquids
Pain and Inflammation,Indomethacin 5,RX,1,3.0,5.0,4.0,15.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 16,RX,1,1.0,3.0,1.0,10.99,Oral Solids
Pain and Inflammation,Acetaminophen 79,OTC,1,4.0,3.0,5.0,11.99,Oral Solids
Pain and Inflammation,Chlorpheniramine-Acetaminophen 2,OTC,1,4.0,3.0,2.0,10.49,Oral Solids
Pain and Inflammation,Phenylephrine-DM-Acetaminophen 3,OTC,1,3.0,5.0,3.0,12.11,Others
Pain and Inflammation,Doxylamin-PSE-DM-Acetaminophen 5,OTC,1,5.0,5.0,5.0,6.87,Oral Liquids
Pain and Inflammation,Cpm-Pseudoeph-DM-Acetaminophen 6,OTC,1,3.0,5.0,5.0,8.28,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 9,OTC,1,5.0,5.0,5.0,9.99,Oral Liquids
Pain and Inflammation,Acetaminophen-DM 3,OTC,1,2.0,5.0,3.0,10.39,Oral Liquids
Pain and Inflammation,Ibuprofen 22,OTC,1,4.0,3.0,4.0,13.49,Oral Solids
Pain and Inflammation,Doxylamine-PE-DM-Acetaminophen 3,OTC,1,4.0,5.0,3.0,8.69,Oral Liquids
Pain and Inflammation,"Pseudoephed-DM-Acetaminophen, Phenylpropanolamine-GG, Chlorpheniramine-Pseudoephed",OTC,1,3.0,3.0,3.0,7.99,Oral Solids
Pain and Inflammation,Chlorpheniram-DM-Acetaminophen 4,OTC,1,5.0,5.0,5.0,8.79,Oral Liquids
Pain and Inflammation,Doxylamine-PE-DM-Acetaminophen 4,OTC,1,5.0,4.0,4.0,8.69,Oral Liquids
Pain and Inflammation,Phenylephrine-DM-Acetaminophen 4,OTC,1,4.0,5.0,4.0,12.11,Others
Pain and Inflammation,Doxylam-PE-DM-Acetaminophen-GG,OTC,1,4.0,5.0,5.0,24.23,Others
Chronic Disease,Pregabalin,RX,3066,3.38,4.07,3.0,196.99,Oral Solids
Chronic Disease,Cyclobenzaprine,RX,772,3.6,4.31,3.34,20.39,Oral Solids
Chronic Disease,Paroxetine Hcl,RX,728,3.72,4.23,3.23,128.99,Oral Solids
Chronic Disease,Cyclobenzaprine 2,RX,479,3.43,4.22,3.22,20.39,Oral Solids
Chronic Disease,Mirtazapine,RX,463,3.26,4.23,2.9,52.99,Oral Solids
Chronic Disease,Pramipexole,RX,332,3.96,4.27,3.71,89.99,Oral Solids
Chronic Disease,Cyclobenzaprine 3,RX,219,3.12,4.18,2.97,20.39,Oral Solids
Chronic Disease,Tramadol-Acetaminophen,RX,176,3.32,4.4,3.13,26.89,Oral Solids
Chronic Disease,Tramadol-Acetaminophen 2,RX,133,3.07,4.07,2.9,26.89,Oral Solids
Chronic Disease,Pramipexole 2,RX,84,4.0,4.27,3.81,89.99,Oral Solids
Chronic Disease,Mirtazapine 2,RX,23,3.36,4.0,3.18,52.99,Oral Solids
Chronic Disease,Pramipexole 3,RX,18,4.43,4.43,4.0,421.99,Oral Solids
Chronic Disease,Cyclobenzaprine 4,RX,13,4.25,5.0,4.0,20.39,Oral Solids
Chronic Disease,Milnacipran,RX,9,3.57,4.29,3.57,477.99,Oral Solids
Gastrointestinal Disease,Simethicone,OTC,31,3.68,4.46,3.46,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 2,OTC,25,2.64,4.64,2.82,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 3,OTC,17,4.25,4.56,4.0,11.9,Oral Solids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth,OTC,11,3.0,4.0,2.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 4,OTC,10,4.6,4.8,4.6,11.9,Oral Solids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",OTC,8,4.5,4.67,4.33,11.99,Oral Liquids
Gastrointestinal Disease,Calcium Carbonate-Simethicone,OTC,6,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",OTC,5,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Calcium Carbonate-Simethicone 2,OTC,3,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 5,OTC,3,4.67,5.0,4.67,11.9,Oral Solids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 2,OTC,3,4.0,4.0,4.5,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 6,OTC,3,2.0,4.0,2.0,11.9,Oral Solids
Gastrointestinal Disease,"Calcium Carbonate-Mag Hydroxid, Alum-Mag Hydroxide-Simeth",OTC,3,3.0,5.0,4.0,11.99,Oral Liquids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 3,OTC,2,5.0,4.0,2.0,11.99,Oral Liquids
Gastrointestinal Disease,"Calcium Carb-Mag Hydrox-Simeth, Alum-Mag Hydroxide-Simeth",OTC,2,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 4,OTC,2,3.0,5.0,3.0,11.99,Oral Liquids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 5,OTC,2,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,"Alum-Mag Hydroxide-Simeth, Calcium Carbonate-Simethicone",OTC,2,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 7,OTC,2,2.0,4.5,2.5,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 8,OTC,2,3.0,3.0,3.0,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 9,OTC,2,4.5,5.0,4.0,11.9,Oral Solids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 6,OTC,1,5.0,1.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 7,OTC,1,4.0,5.0,4.0,11.99,Oral Liquids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 8,OTC,1,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth",OTC,1,3.0,5.0,3.0,11.99,Oral Liquids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 9,OTC,1,4.0,3.0,4.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 10,OTC,1,4.0,5.0,4.0,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 11,OTC,1,1.0,1.0,1.0,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 12,OTC,1,5.0,5.0,5.0,11.9,Oral Solids
Gastrointestinal Disease,Calcium Carbonate-Simethicone 3,OTC,1,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 10,OTC,1,1.0,1.0,1.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 13,OTC,1,4.0,5.0,5.0,11.9,Oral Solids
Gastrointestinal Disease,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth",OTC,1,5.0,5.0,5.0,5.99,Oral Solids
Gastrointestinal Disease,Calcium Carbonate-Mag Hydroxid,OTC,1,4.0,4.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 14,OTC,1,4.0,2.0,3.0,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 15,OTC,1,4.0,4.0,4.0,11.9,Oral Solids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 11,OTC,1,2.0,1.0,3.0,11.99,Oral Liquids
Gastrointestinal Disease,"Simethicone, Alpha-D-Galactosidase","
",1,3.0,5.0,3.0,11.9,Oral Solids
Gastrointestinal Disease,"Activated Charcoal-Simethicone, Simethicone",OTC,1,1.0,1.0,1.0,11.9,Oral Solids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 12,OTC,1,5.0,4.0,2.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 16,OTC,1,1.0,5.0,1.0,11.9,Oral Solids
Gastrointestinal Disease,"Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth",OTC,1,1.0,5.0,1.0,11.99,Oral Liquids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth",OTC,1,4.0,4.0,4.0,11.99,Oral Liquids
Gastrointestinal Disease,Simethicone 17,OTC,1,3.0,5.0,3.0,11.9,Oral Solids
Gastrointestinal Disease,Simethicone 18,OTC,1,3.0,5.0,4.0,11.9,Oral Solids
Skin Condition,"Mupirocin Calcium, Mupirocin",RX,60,3.86,4.55,3.79,52.99,Ointments
Skin Condition,Mupirocin,RX,52,3.91,4.36,3.09,52.99,Ointments
Skin Condition,Mupirocin 2,RX,5,5.0,5.0,5.0,52.99,Ointments
Skin Condition,Gentamicin 3,RX,3,4.5,5.0,4.5,22.99,Oral Liquids
Skin Condition,Gentamicin 4,RX,1,3.0,5.0,3.0,22.99,Oral Liquids
Skin Condition,Mupirocin 3,RX,1,1.0,4.0,1.0,364.99,Others
Gastrointestinal Disease,Omeprazole,RX/OTC,465,3.78,4.18,3.22,68.99,Oral Solids
Gastrointestinal Disease,Dexlansoprazole,RX,443,3.82,4.31,2.87,340.99,Oral Solids
Gastrointestinal Disease,Pantoprazole,RX,367,3.91,4.34,3.62,102.99,Oral Solids
Gastrointestinal Disease,Rabeprazole,RX,297,4.12,4.58,3.93,293.99,Oral Solids
Gastrointestinal Disease,"Omeprazole, Omeprazole Magnesium",RX,254,4.07,4.53,3.4,68.99,Oral Solids
Gastrointestinal Disease,Pantoprazole 2,RX,237,3.32,4.2,2.99,102.99,Oral Solids
Gastrointestinal Disease,Omeprazole Magnesium,OTC,178,4.01,4.4,3.16,22.29,Oral Solids
Gastrointestinal Disease,Lansoprazole,RX,178,4.3,4.65,4.08,184.99,Oral Solids
Gastrointestinal Disease,Omeprazole-Sodium Bicarbonate,RX,165,4.05,4.37,3.47,20.99,Oral Solids
Gastrointestinal Disease,Sucralfate,RX,134,3.83,3.6,3.57,68.99,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl,RX/OTC,116,4.07,4.51,3.74,23.62,Oral Solids
Gastrointestinal Disease,Dexlansoprazole 2,RX,110,3.83,4.47,3.38,340.99,Oral Solids
Gastrointestinal Disease,Sucralfate 2,RX,78,4.14,3.54,3.89,68.99,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 2,RX/OTC,73,4.33,4.42,4.17,23.62,Oral Solids
Gastrointestinal Disease,Erythromycin 6,RX,72,2.11,2.79,1.32,125.24,Oral Solids
Gastrointestinal Disease,Magnesium Oxide,RX/OTC,63,3.37,3.83,3.27,21.99,Oral Solids
Gastrointestinal Disease,Lansoprazole 2,RX/OTC,57,2.91,4.05,2.5,184.99,Oral Solids
Gastrointestinal Disease,Famotidine,RX/OTC,38,3.2,4.5,3.0,16.38,Oral Solids
Gastrointestinal Disease,Omeprazole Magnesium 2,RX/OTC,37,3.77,4.23,3.54,68.99,Oral Solids
Gastrointestinal Disease,Esomeprazole Magnesium,RX/OTC,25,3.54,4.23,2.92,236.99,Oral Solids
Gastrointestinal Disease,Rabeprazole 2,RX,25,3.78,4.44,3.67,293.99,Oral Solids
Gastrointestinal Disease,Lansoprazole 3,OTC,24,4.63,5.0,4.0,184.99,Oral Solids
Gastrointestinal Disease,Omeprazole-Sodium Bicarbonate 2,OTC,24,3.55,4.27,3.55,20.99,Oral Solids
Gastrointestinal Disease,Famotidine 2,RX,22,3.86,4.29,3.29,16.38,Oral Solids
Gastrointestinal Disease,Famotidine-Ca Carb-Mag Hydrox,OTC,21,4.78,4.67,4.44,11.99,Oral Solids
Gastrointestinal Disease,Famotidine 3,OTC,19,4.5,4.75,4.5,16.38,Oral Solids
Gastrointestinal Disease,Erythromycin 7,RX,19,3.8,4.0,3.4,125.24,Oral Solids
Gastrointestinal Disease,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate, Calcium Carbonate",OTC,15,4.75,4.75,3.75,11.99,Oral Liquids
Gastrointestinal Disease,Aluminum Hydrox-Magnesium Carb,OTC,14,4.88,4.75,4.88,11.99,Oral Liquids
Gastrointestinal Disease,Cimetidine,OTC,13,4.5,5.0,4.5,199.99,Oral Solids
Gastrointestinal Disease,Erythromycin Stearate 4,RX,12,3.0,2.8,2.2,161.19,Oral Solids
Gastrointestinal Disease,Erythromycin Ethylsuccinate 7,RX,11,3.25,2.75,3.0,332.63,Oral Liquids
Gastrointestinal Disease,Lansoprazole 4,RX,11,4.33,5.0,4.67,184.99,Oral Solids
Gastrointestinal Disease,Omeprazole-Sodium Bicarbonate 3,RX/OTC,10,4.63,4.88,4.38,20.99,Oral Solids
Gastrointestinal Disease,Dexlansoprazole 3,RX,10,4.43,4.86,4.0,340.99,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 3,OTC,9,4.33,4.33,4.33,23.62,Oral Solids
Gastrointestinal Disease,Nizatidine,RX,9,5.0,5.0,5.0,145.99,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 4,RX,8,4.2,5.0,3.8,23.62,Oral Solids
Gastrointestinal Disease,Esomeprazole Magnesium 2,RX,8,4.33,4.67,3.67,236.99,Oral Solids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth 2",OTC,8,4.5,4.67,4.33,11.99,Oral Liquids
Gastrointestinal Disease,Magnesium Hydroxide,OTC,7,4.0,5.0,4.25,12.23,Oral Liquids
Gastrointestinal Disease,"Calcium Carbonate-Mag Hydroxid, Dihydroxyaluminum Sod Carb",OTC,6,4.33,5.0,4.67,11.99,Oral Liquids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth 2",OTC,5,5.0,5.0,5.0,11.99,Oral Liquids
Gastrointestinal Disease,Magnesium Hydroxide 2,OTC,5,4.5,4.5,4.5,12.23,Oral Liquids
Gastrointestinal Disease,Esomeprazole Magnesium 3,OTC,5,3.33,3.67,3.0,236.99,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 5,OTC,4,5.0,5.0,5.0,23.62,Oral Solids
Gastrointestinal Disease,Pantoprazole 3,RX,4,5.0,5.0,5.0,102.99,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 6,RX,4,3.0,3.0,2.5,23.62,Oral Solids
Gastrointestinal Disease,Erythromycin Stearate 5,RX,4,5.0,4.0,5.0,161.19,Oral Solids
Gastrointestinal Disease,Famotidine 4,OTC,3,5.0,5.0,5.0,16.38,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 7,OTC,3,3.0,4.0,3.0,23.62,Oral Solids
Gastrointestinal Disease,Nizatidine 2,RX,3,3.0,4.0,3.0,145.99,Oral Solids
Gastrointestinal Disease,Erythromycin Ethylsuccinate 8,RX,3,1.0,1.0,1.0,332.63,Oral Liquids
Gastrointestinal Disease,Pantoprazole 4,RX,2,5.0,5.0,5.0,102.99,Oral Solids
Gastrointestinal Disease,Famotidine 5,OTC,2,5.0,5.0,5.0,16.38,Oral Solids
Gastrointestinal Disease,Famotidine-Ca Carb-Mag Hydrox 2,OTC,2,5.0,5.0,5.0,11.99,Oral Solids
Gastrointestinal Disease,Alum-Mag Hydroxide-Simeth 13,OTC,2,5.0,4.0,2.0,11.99,Oral Liquids
Gastrointestinal Disease,Aluminum Hydroxide Gel,OTC,2,5.0,5.0,5.0,14.99,Oral Liquids
Gastrointestinal Disease,Magnesium Hydroxide 3,OTC,2,4.0,4.0,4.0,12.23,Oral Liquids
Gastrointestinal Disease,Esomeprazole Strontium,RX,2,3.0,3.0,3.0,289.99,Oral Solids
Gastrointestinal Disease,Famotidine-Ca Carb-Mag Hydrox 3,OTC,2,4.0,4.0,4.0,11.99,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 8,RX,2,2.0,4.0,1.5,23.62,Oral Solids
Gastrointestinal Disease,Erythromycin Ethylsuccinate 9,RX,2,4.0,4.0,4.0,332.63,Oral Liquids
Gastrointestinal Disease,Ranitidine Hcl 9,OTC,2,1.0,3.0,1.0,23.62,Oral Solids
Gastrointestinal Disease,Erythromycin 8,RX,1,5.0,2.0,4.0,125.24,Oral Solids
Gastrointestinal Disease,Famotidine-Ca Carb-Mag Hydrox 4,OTC,1,2.0,5.0,2.0,11.99,Oral Solids
Gastrointestinal Disease,Al Hyd-Mg Tr-Alg Ac-Sod Bicarb,OTC,1,3.0,3.0,1.0,5.99,Oral Solids
Gastrointestinal Disease,Aluminum Hydroxide Gel 2,OTC,1,5.0,5.0,5.0,14.99,Oral Liquids
Gastrointestinal Disease,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate",OTC,1,2.0,2.0,2.0,11.99,Oral Liquids
Gastrointestinal Disease,Aluminum Hydrox-Magnesium Carb 2,OTC,1,1.0,1.0,1.0,11.99,Oral Liquids
Gastrointestinal Disease,"Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth 2",OTC,1,5.0,5.0,5.0,5.99,Oral Solids
Gastrointestinal Disease,Magaldrate,OTC,1,5.0,5.0,5.0,5.99,Oral Solids
Gastrointestinal Disease,Erythromycin Stearate 6,RX,1,4.0,4.0,4.0,161.19,Oral Solids
Gastrointestinal Disease,Famotidine 6,OTC,1,3.0,5.0,3.0,16.38,Oral Solids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth 2",OTC,1,3.0,5.0,3.0,11.99,Oral Liquids
Gastrointestinal Disease,Magnesium Hydroxide 4,OTC,1,4.0,4.0,4.0,12.23,Oral Liquids
Gastrointestinal Disease,Al Hyd-Mg Tr-Alg Ac-Sod Bicarb 2,OTC,1,1.0,1.0,1.0,5.99,Oral Solids
Gastrointestinal Disease,Lansoprazole 5,OTC,1,5.0,5.0,5.0,184.99,Oral Solids
Gastrointestinal Disease,"Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth 2",OTC,1,4.0,4.0,4.0,11.99,Oral Liquids
Gastrointestinal Disease,Aluminum-Magnesium Hydroxide,OTC,1,1.0,5.0,1.0,5.99,Oral Solids
Gastrointestinal Disease,Erythromycin Ethylsuccinate 10,RX,1,5.0,4.0,5.0,332.63,Oral Liquids
Gastrointestinal Disease,"Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth 2",OTC,1,1.0,5.0,1.0,11.99,Oral Liquids
Gastrointestinal Disease,"Calcium Carbonate-Mag Hydroxid, Calcium Carbonate, Dihydroxyaluminum Sod Carb",OTC,1,1.0,1.0,1.0,5.99,Oral Solids
Gastrointestinal Disease,Erythromycin Ethylsuccinate 11,RX,1,1.0,1.0,1.0,332.63,Oral Liquids
Gastrointestinal Disease,Erythromycin Ethylsuccinate 12,RX,1,3.0,3.0,3.0,332.63,Oral Liquids
Gastrointestinal Disease,Ranitidine Hcl 10,OTC,1,4.0,5.0,3.0,23.62,Oral Solids
Gastrointestinal Disease,Ranitidine Hcl 11,RX,1,2.0,5.0,2.0,23.62,Oral Solids
Chronic Disease,Valacyclovir 3,RX,350,4.29,4.6,4.15,222.79,Oral Solids
Chronic Disease,Valacyclovir 4,RX,146,3.96,4.16,3.61,222.79,Oral Solids
Chronic Disease,Acyclovir 2,RX,47,4.25,3.5,3.75,42.99,Oral Solids
Chronic Disease,Acyclovir 3,RX,39,3.17,4.09,3.17,42.99,Oral Solids
Chronic Disease,Acyclovir-Hydrocortisone,RX,14,4.57,4.79,4.43,1379.93,Ointments
Chronic Disease,Acyclovir Sodium 2,RX,9,2.0,3.0,1.67,167.99,Injectables
Chronic Disease,Acyclovir 4,RX,7,3.67,4.0,4.0,42.99,Oral Solids
Chronic Disease,Acyclovir Sodium 3,RX,3,5.0,4.5,5.0,167.99,Injectables
Chronic Disease,Acyclovir-Hydrocortisone 2,RX,1,1.0,1.0,1.0,1379.93,Ointments
Pain and Inflammation,Meloxicam,RX,894,3.44,4.26,3.15,32.99,Oral Solids
Pain and Inflammation,Celecoxib,RX,745,3.85,4.47,3.46,215.99,Oral Solids
Pain and Inflammation,Naproxen 3,RX,740,2.82,3.7,2.42,15.59,Oral Solids
Pain and Inflammation,Meloxicam 2,RX,732,3.4,4.13,3.09,32.99,Oral Solids
Pain and Inflammation,Diclofenac Sodium,RX,595,3.67,4.19,3.33,54.99,Ointments
Pain and Inflammation,Indomethacin 6,RX,315,3.97,4.25,3.67,15.99,Oral Solids
Pain and Inflammation,Ibuprofen 23,RX/OTC,271,3.37,3.98,3.13,13.49,Oral Solids
Pain and Inflammation,Diclofenac Sodium 2,RX,259,3.9,4.31,3.61,54.99,Ointments
Pain and Inflammation,Etodolac,RX,255,2.89,3.83,2.81,66.99,Oral Solids
Pain and Inflammation,Naproxen Sodium 9,OTC,186,3.5,4.24,3.13,61.39,Oral Solids
Pain and Inflammation,Diclofenac-Misoprostol,RX,186,3.84,4.01,3.35,189.99,Oral Solids
Pain and Inflammation,Piroxicam,RX,117,3.45,4.07,3.25,57.59,Oral Solids
Pain and Inflammation,Naproxen Sodium 10,RX/OTC,104,3.12,4.23,2.73,61.39,Oral Solids
Pain and Inflammation,Diclofenac-Misoprostol 2,RX,103,4.52,4.64,4.05,189.99,Oral Solids
Pain and Inflammation,Diclofenac Potassium,RX,90,3.95,4.45,3.7,43.99,Oral Solids
Pain and Inflammation,Indomethacin 7,RX,82,4.22,4.41,4.06,15.99,Oral Solids
Pain and Inflammation,Naproxen 4,RX,64,3.27,3.64,2.91,15.59,Oral Solids
Pain and Inflammation,Oxaprozin,RX,60,3.44,4.12,3.32,193.99,Oral Solids
Pain and Inflammation,Mefenamic Acid,RX,60,3.86,4.47,3.88,368.99,Oral Solids
Pain and Inflammation,Diclofenac Potassium 2,RX,57,3.71,4.25,3.46,423.99,Oral Solids
Pain and Inflammation,Oxaprozin 2,RX,57,3.36,4.24,3.08,193.99,Oral Solids
Pain and Inflammation,Piroxicam 2,RX,54,4.32,4.2,3.72,57.59,Oral Solids
Pain and Inflammation,Ibuprofen-Famotidine,RX,48,4.18,4.27,4.05,997.39,Oral Solids
Pain and Inflammation,Diclofenac Sodium 3,RX,44,4.09,4.04,3.87,72.99,Oral Solids
Pain and Inflammation,Celecoxib 2,RX,43,3.0,3.5,2.85,215.99,Oral Solids
Pain and Inflammation,Diclofenac Potassium 3,RX,40,3.73,4.47,3.6,43.99,Oral Solids
Pain and Inflammation,Ibuprofen 24,RX/OTC,29,3.64,4.18,3.64,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 25,OTC,26,4.2,4.4,4.2,13.49,Oral Solids
Pain and Inflammation,Diclofenac-Misoprostol 3,RX,24,3.85,4.15,3.08,189.99,Oral Solids
Pain and Inflammation,Ibuprofen 26,OTC,24,4.21,4.79,4.0,13.49,Oral Solids
Pain and Inflammation,Diflunisal,RX,23,3.13,4.0,2.38,21.39,Oral Solids
Pain and Inflammation,Naproxen Sodium 11,RX,22,3.0,3.86,3.0,61.39,Oral Solids
Pain and Inflammation,Fenoprofen,RX,17,4.33,4.83,4.33,99.59,Oral Solids
Pain and Inflammation,Ibuprofen 27,OTC,16,4.75,5.0,4.75,13.49,Oral Solids
Pain and Inflammation,Mefenamic Acid 2,RX,16,3.44,4.22,3.44,368.99,Oral Solids
Pain and Inflammation,Etodolac 2,RX,15,4.0,4.88,4.13,66.99,Oral Solids
Pain and Inflammation,Diflunisal 2,RX,12,4.67,4.67,4.67,21.39,Oral Solids
Pain and Inflammation,Ibuprofen 28,OTC,11,4.0,4.4,4.2,13.49,Oral Solids
Pain and Inflammation,Meclofenamate,RX,11,3.86,4.43,3.86,159.59,Oral Solids
Pain and Inflammation,Flurbiprofen,RX,10,4.5,4.33,3.83,99.49,Oral Solids
Pain and Inflammation,Indomethacin 8,RX,10,4.4,4.6,4.2,15.99,Oral Solids
Pain and Inflammation,Naproxen Sodium 12,RX,9,3.33,3.67,3.0,61.39,Oral Solids
Pain and Inflammation,Naproxen Sodium 13,RX,7,4.33,4.33,4.33,61.39,Oral Solids
Pain and Inflammation,Naproxen Sodium 14,OTC,5,4.0,5.0,5.0,61.39,Oral Solids
Pain and Inflammation,Naproxen Sodium 15,RX,5,4.0,5.0,4.0,61.39,Oral Solids
Pain and Inflammation,Flurbiprofen 2,RX,4,5.0,5.0,5.0,99.49,Oral Solids
Pain and Inflammation,Ibuprofen 29,OTC,4,4.0,4.67,4.33,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 30,OTC,4,2.5,3.0,1.0,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 31,RX,3,4.5,4.5,4.0,13.49,Oral Solids
Pain and Inflammation,Naproxen Sodium 16,OTC,3,3.5,4.0,3.0,61.39,Oral Solids
Pain and Inflammation,Ibuprofen 32,OTC,3,4.0,4.5,4.0,13.49,Oral Solids
Pain and Inflammation,Fenoprofen 2,RX,2,3.0,5.0,2.0,99.59,Oral Solids
Pain and Inflammation,Meclofenamate 2,RX,2,5.0,5.0,5.0,159.59,Oral Solids
Pain and Inflammation,Naproxen Sodium 17,OTC,2,4.0,5.0,5.0,61.39,Oral Solids
Pain and Inflammation,Ibuprofen 33,OTC,2,5.0,5.0,5.0,13.49,Oral Solids
Pain and Inflammation,"Acetaminophen-Pamabrom, Ibuprofen 2",OTC,2,5.0,5.0,5.0,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 34,OTC,2,3.5,4.5,2.5,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 35,OTC,2,4.0,4.0,5.0,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 36,OTC,1,3.0,5.0,3.0,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 37,RX,1,5.0,5.0,5.0,13.49,Oral Solids
